time,open,high,low,close
2026-07-06 13:00:00,61754.01,62034,61306.84,61768.21
2026-07-06 14:00:00,61768.2,62411.41,61712.54,62052
2026-07-06 15:00:00,62052,63550,62052,63545.98
2026-07-06 16:00:00,63545.98,63863,63386.01,63732
2026-07-06 17:00:00,63732,63976.16,63570.16,63587.38
2026-07-06 18:00:00,63587.38,63886,63560,63696.4
2026-07-06 19:00:00,63696.4,63887.93,63652.42,63738.52
2026-07-06 20:00:00,63738.52,63892.65,63589.41,63828
2026-07-06 21:00:00,63828,64700,63810,64489.98
2026-07-06 22:00:00,64489.97,64500,64151.01,64244
2026-07-06 23:00:00,64244,64340.76,64017.78,64042.02
2026-07-07 00:00:00,64042.93,64314,63997.5,64203.99
2026-07-07 01:00:00,64203.99,64204,63767.04,63840
2026-07-07 02:00:00,63840,63908,63288.01,63322.01
2026-07-07 03:00:00,63322.01,63414,63150,63191.01
2026-07-07 04:00:00,63191.01,63288.33,63064,63100.01
2026-07-07 05:00:00,63100,63278.99,62800,63128.01
2026-07-07 06:00:00,63128,63400,62984.42,63340
2026-07-07 07:00:00,63340.01,63445.7,63072.1,63083.18
2026-07-07 08:00:00,63083.19,63184,62984.58,63104
2026-07-07 09:00:00,63104,63348.73,63063.28,63256
2026-07-07 10:00:00,63256.01,63467.15,63228.17,63284
2026-07-07 11:00:00,63284,63452,63116.02,63406
2026-07-07 12:00:00,63405.99,63872,63396.58,63481.39
2026-07-07 13:00:00,63481.39,63482.5,63000,63056
2026-07-07 14:00:00,63056,63634,62671.39,63562.05
2026-07-07 15:00:00,63562.05,64105,63376.22,63930.51
2026-07-07 16:00:00,63930.5,64243.75,63810,63983.27
2026-07-07 17:00:00,63983.28,64232,63896.21,64186
2026-07-07 18:00:00,64185.99,64188,63672.01,63679.99
2026-07-07 19:00:00,63679.99,63894.58,63379.69,63817.99
2026-07-07 20:00:00,63818,63901.75,63585,63697.99
2026-07-07 21:00:00,63698,63866,63313.1,63423.94
2026-07-07 22:00:00,63423.93,63660,63218,63551.02
2026-07-07 23:00:00,63551.02,63708,63320,63363.99
2026-07-08 00:00:00,63364,63761.99,63307.36,63612.77
2026-07-08 01:00:00,63612.78,63649.5,62921.78,63038.01
2026-07-08 02:00:00,63038,63066,62525.47,62979.99
2026-07-08 03:00:00,62979.98,63094,62700.18,62766
2026-07-08 04:00:00,62766,62901.49,62676,62800
2026-07-08 05:00:00,62800.01,62876.95,62558,62637.88
2026-07-08 06:00:00,62637.88,62746,62477.04,62657.81
2026-07-08 07:00:00,62657.82,62894.89,62550,62888.35
2026-07-08 08:00:00,62888.34,62941.46,61855.26,62018.36
2026-07-08 09:00:00,62018.36,62190.01,61743.83,62057.67
2026-07-08 10:00:00,62057.68,62199.97,61903.45,62183.12
2026-07-08 11:00:00,62183.11,62392.04,62055.63,62299.99
2026-07-08 12:00:00,62300,62451.08,61953.58,61957.73
2026-07-08 13:00:00,61957.74,62090,61632.23,61945.49
2026-07-08 14:00:00,61945.49,62173.56,61712,61889.83
2026-07-08 15:00:00,61889.83,61922,61544.56,61704.01
2026-07-08 16:00:00,61704.01,62164.6,61692,62113.03
2026-07-08 17:00:00,62113.02,62394.32,62032,62104.62
2026-07-08 18:00:00,62104.62,62351.97,62045.2,62185.32
2026-07-08 19:00:00,62185.33,62292.19,62068,62277.98
2026-07-08 20:00:00,62277.98,62306.54,62082.8,62099.61
2026-07-08 21:00:00,62099.62,62251.22,61956,62187.17
2026-07-08 22:00:00,62187.17,62350.63,62178,62330.4
2026-07-08 23:00:00,62330.4,62346.6,62174,62290
2026-07-09 00:00:00,62290.01,62309.88,62058.51,62129.99
2026-07-09 01:00:00,62129.99,62642,61837.1,61916
2026-07-09 02:00:00,61916,62121.21,61705.29,61788.8
2026-07-09 03:00:00,61788.79,62062.99,61730,61974.34
2026-07-09 04:00:00,61974.34,62456.29,61956.46,62453.74
2026-07-09 05:00:00,62453.74,62624.61,62236,62589.61
2026-07-09 06:00:00,62589.61,62980,62485.58,62959.96
2026-07-09 07:00:00,62959.96,63283.26,62788.06,63000
2026-07-09 08:00:00,62999.99,63100.1,62855.63,62903.65
