datetime;open;high;low;close
2026-03-24;651.32001;657.030029;649.88000;653.17999
2026-03-23;658.070007;662.62000;653.94000;655.38000
2026-03-20;656.51001;656.69000;644.71997;648.57001
2026-03-19;656.96997;662.97998;655.16998;659.79999
2026-03-18;668.35999;669.71997;661.19000;661.42999
2026-03-17;672.39001;674.44000;669.70001;670.78998
2026-03-16;668.38000;672.070007;667.12000;669.030029
2026-03-13;669.27002;672.34003;661.35999;662.28998
2026-03-12;671.15997;671.65002;665.87000;666.059998
2026-03-11;677.58002;680.080017;673.34003;676.33002
2026-03-10;677.71997;683.35999;674.76001;677.17999
2026-03-09;666.39001;679.91998;662.39001;678.27002
2026-03-06;673.40997;676.10999;669.76001;672.38000
2026-03-05;682.080017;685.53003;675.60999;681.31000
2026-03-04;681.63000;687.090027;679.62000;685.13000
2026-03-03;675.059998;682.60999;669.65997;680.33002
2026-03-02;678.70001;688.62000;678.020020;686.38000
2026-02-27;683.090027;686.85999;681.64001;685.98999
2026-02-26;693.28003;693.29999;684.34998;689.29999
2026-02-25;690.17999;693.67999;690.099976;693.15002
2026-02-24;681.90002;688.34998;680;687.34998
2026-02-23;687.83002;690;680.37000;682.39001
2026-02-20;682.32001;690.059998;681.72998;689.42999
2026-02-19;683.84003;686.17999;681.54999;684.47998
2026-02-18;684.020020;689.15002;682.83002;686.28998
2026-02-17;680.14001;684.94000;675.78003;682.84998
2026-02-13;681.69000;686.28003;677.52002;681.75
2026-02-12;694.23999;695.34998;680.37000;681.27002
2026-02-11;696.39001;697.14001;689.17999;691.96002
2026-02-10;694.95001;696.53998;691.65997;692.12000
2026-02-09;689.41998;695.87000;688.34003;693.95001
2026-02-06;681.46002;692.31000;680.84998;690.62000
2026-02-05;680.94000;683.69000;675.78998;677.62000
2026-02-04;690.34998;691.45001;681.76001;686.19000
2026-02-03;696.21002;696.96002;684.030029;689.53003
2026-02-02;689.58002;696.92999;689.41998;695.40997
2026-01-30;691.78998;694.21002;687.12000;691.96997
2026-01-29;696.39001;697.059998;684.83002;694.039978
2026-01-28;697.049988;697.84003;693.94000;695.41998
2026-01-27;694.17999;696.53003;693.57001;695.48999
2026-01-26;690.48999;694.13000;689.91998;692.72998
2026-01-23;688.15002;690.96002;687.15997;689.22998
2026-01-22;689.84998;691.13000;686.91998;688.97998
2026-01-21;679.65002;688.73999;678.13000;685.40002
2026-01-20;681.48999;684.77002;676.57001;677.58002
2026-01-16;693.65997;694.25;690.099976;691.65997
2026-01-15;694.57001;695.45001;691.25;692.23999
2026-01-14;691;691.71997;686.039978;690.35999
2026-01-13;695.48999;696.090027;691.34998;693.77002
2026-01-12;690.67999;696.090027;690.63000;695.15997
2026-01-09;690.63000;695.31000;689.17999;694.070007
